tool,trial,elapsed_sec,total_docs,total_tokens,docs_per_sec,tokens_per_sec
tiktoken_r50k_base,1,0.5710567590140272,10000,1315100,17511.39416905906,2302923.447172957
tiktoken_r50k_base,2,0.6802098889893387,10000,1315100,14701.34463181369,1933373.8325298184
tiktoken_r50k_base,3,0.5468994349939749,10000,1315100,18284.897295807536,2404646.843371649
hf_gpt2_fast,1,0.5489501409756485,10000,1315100,18216.59064013903,2395663.8350846837
hf_gpt2_fast,2,0.575977333006449,10000,1315100,17361.794339722797,2283249.573616945
hf_gpt2_fast,3,0.47095359000377357,10000,1315100,21233.514750189872,2792419.5247974703
